date;position;name;km;days;
2020-05-27;6;KerttuliS;54,5;4;
2020-05-27;7;baja_biker;38,1;8;
2020-05-28;1;ilkkapa;438,0;21;
2020-05-28;2;nkokko;307,8;8;
2020-05-28;3;vesa.luomala;264,0;12;
2020-05-28;4;EevaLa;142,0;6;
2020-05-28;5;IdaSofiak;78,7;4;
2020-05-28;6;KerttuliS;54,5;4;
2020-05-28;7;baja_biker;38,1;8;
2020-05-29;1;ilkkapa;438,0;21;
2020-05-29;2;nkokko;307,8;8;
2020-05-29;3;vesa.luomala;264,0;12;
2020-05-29;4;EevaLa;142,0;6;
2020-05-29;5;IdaSofiak;78,7;4;
2020-05-29;6;KerttuliS;54,5;4;
2020-05-29;7;baja_biker;38,1;8;
2020-05-30;1;ilkkapa;438,0;21;
2020-05-30;2;nkokko;351,6;9;
2020-05-30;3;vesa.luomala;264,0;12;
2020-05-30;4;EevaLa;142,0;6;
2020-05-30;5;IdaSofiak;78,7;4;
2020-05-30;6;KerttuliS;54,5;4;
2020-05-30;7;baja_biker;38,1;8;
2020-05-31;1;ilkkapa;500,0;26;
2020-05-31;2;nkokko;351,6;9;
2020-05-31;3;vesa.luomala;274,0;13;
2020-05-31;4;EevaLa;142,0;6;
2020-05-31;5;IdaSofiak;78,7;4;
2020-05-31;6;KerttuliS;54,5;4;
2020-05-31;7;baja_biker;38,1;8;
2020-06-01;1;ilkkapa;514,0;27;
2020-06-01;2;nkokko;351,6;9;
2020-06-01;3;vesa.luomala;274,0;13;
2020-06-01;4;EevaLa;142,0;6;
2020-06-01;5;IdaSofiak;78,7;4;
2020-06-01;6;KerttuliS;54,5;4;
2020-06-01;7;baja_biker;38,1;8;
2020-06-02;1;ilkkapa;522,0;28;
2020-06-02;2;nkokko;374,9;10;
2020-06-02;3;vesa.luomala;284,0;14;
2020-06-02;4;EevaLa;142,0;6;
2020-06-02;5;IdaSofiak;78,7;4;
2020-06-02;6;KerttuliS;54,5;4;
2020-06-02;7;baja_biker;38,1;8;
2020-06-03;1;ilkkapa;533,0;29;
2020-06-03;2;nkokko;374,9;10;
2020-06-03;3;vesa.luomala;284,0;14;
2020-06-03;4;EevaLa;142,0;6;
2020-06-03;5;IdaSofiak;78,7;4;
2020-06-03;6;KerttuliS;54,5;4;
2020-06-03;7;baja_biker;38,1;8;
2020-06-04;1;ilkkapa;533,0;29;
2020-06-04;2;nkokko;374,9;10;
2020-06-04;3;vesa.luomala;348,0;16;
2020-06-04;4;EevaLa;154,0;7;
2020-06-04;5;IdaSofiak;78,7;4;
2020-06-04;6;KerttuliS;54,5;4;
2020-06-04;7;baja_biker;38,1;8;
2020-06-05;1;ilkkapa;554,0;30;
2020-06-05;2;nkokko;374,9;10;
2020-06-05;3;vesa.luomala;353,0;17;
2020-06-05;4;EevaLa;154,0;7;
2020-06-05;5;IdaSofiak;78,7;4;
2020-06-05;6;KerttuliS;54,5;4;
2020-06-05;7;baja_biker;38,1;8;
2020-06-06;1;ilkkapa;554,0;30;
2020-06-06;2;nkokko;374,9;10;
2020-06-06;3;vesa.luomala;365,5;18;
2020-06-06;4;EevaLa;154,0;7;
2020-06-06;5;IdaSofiak;78,7;4;
2020-06-06;6;KerttuliS;54,5;4;
2020-06-06;7;baja_biker;38,1;8;
2020-06-07;1;ilkkapa;687,0;31;
2020-06-07;2;nkokko;395,9;11;
2020-06-07;3;vesa.luomala;371,0;19;
2020-06-07;4;EevaLa;154,0;7;
2020-06-07;5;IdaSofiak;78,7;4;
2020-06-07;6;KerttuliS;54,5;4;
2020-06-07;7;baja_biker;38,1;8;
2020-06-08;1;ilkkapa;687,0;31;
2020-06-08;2;nkokko;395,9;11;
2020-06-08;3;vesa.luomala;378,0;20;
2020-06-08;4;EevaLa;154,0;7;
2020-06-08;5;IdaSofiak;85,3;6;
2020-06-08;6;KerttuliS;54,5;4;
2020-06-08;7;baja_biker;38,1;8;
2020-06-09;1;ilkkapa;699,0;32;
2020-06-09;2;nkokko;419,0;12;
2020-06-09;3;vesa.luomala;407,0;21;
2020-06-09;4;EevaLa;154,0;7;
2020-06-09;5;IdaSofiak;85,3;6;
2020-06-09;6;KerttuliS;54,5;4;
2020-06-09;7;baja_biker;38,1;8;
2020-06-10;1;ilkkapa;768,0;33;
2020-06-10;2;nkokko;419,0;12;
2020-06-10;3;vesa.luomala;407,0;21;
2020-06-10;4;EevaLa;154,0;7;
2020-06-10;5;IdaSofiak;85,3;6;
2020-06-10;6;KerttuliS;54,5;4;
2020-06-10;7;baja_biker;38,1;8;
2020-06-11;1;ilkkapa;768,0;33;
2020-06-11;2;nkokko;442,2;13;
2020-06-11;3;vesa.luomala;419,0;22;
2020-06-11;4;EevaLa;170,0;10;
2020-06-11;5;IdaSofiak;85,3;6;
2020-06-11;6;KerttuliS;54,5;4;
2020-06-11;7;baja_biker;38,1;8;
2020-06-12;1;ilkkapa;768,0;33;
2020-06-12;2;nkokko;442,2;13;
2020-06-12;3;vesa.luomala;426,0;23;
2020-06-12;4;EevaLa;170,0;10;
2020-06-12;5;IdaSofiak;85,3;6;
2020-06-12;6;KerttuliS;54,5;4;
2020-06-12;7;baja_biker;38,1;8;
2020-06-13;1;ilkkapa;830,0;35;
2020-06-13;2;nkokko;498,0;14;
2020-06-13;3;vesa.luomala;471,5;24;
2020-06-13;4;EevaLa;170,0;10;
2020-06-13;5;IdaSofiak;85,3;6;
2020-06-13;6;KerttuliS;54,5;4;
2020-06-13;7;baja_biker;38,1;8;
2020-06-14;1;ilkkapa;830,0;35;
2020-06-14;2;nkokko;498,0;14;
2020-06-14;3;vesa.luomala;477,5;25;
2020-06-14;4;EevaLa;170,0;10;
2020-06-14;5;IdaSofiak;85,3;6;
2020-06-14;6;KerttuliS;54,5;4;
2020-06-14;7;baja_biker;38,1;8;
2020-06-15;1;ilkkapa;830,0;35;
2020-06-15;2;nkokko;536,1;15;
2020-06-15;3;vesa.luomala;477,5;25;
2020-06-15;4;EevaLa;184,0;11;
2020-06-15;5;IdaSofiak;88,5;7;
2020-06-15;6;KerttuliS;54,5;4;
2020-06-15;7;baja_biker;38,1;8;
2020-06-16;1;ilkkapa;830,0;35;
2020-06-16;2;nkokko;536,1;15;
2020-06-16;3;vesa.luomala;492,5;26;
2020-06-16;4;EevaLa;184,0;11;
2020-06-16;5;IdaSofiak;88,5;7;
2020-06-16;6;KerttuliS;54,5;4;
2020-06-16;7;baja_biker;38,1;8;
2020-06-17;1;ilkkapa;830,0;35;
2020-06-17;2;nkokko;536,1;15;
2020-06-17;3;vesa.luomala;498,5;27;
2020-06-17;4;EevaLa;184,0;11;
2020-06-17;5;IdaSofiak;88,5;7;
2020-06-17;6;KerttuliS;54,5;4;
2020-06-17;7;baja_biker;38,1;8;
2020-06-18;1;ilkkapa;931,0;38;
2020-06-18;2;nkokko;594,4;17;
2020-06-18;3;vesa.luomala;498,5;27;
2020-06-18;4;EevaLa;184,0;11;
2020-06-18;5;IdaSofiak;88,5;7;
2020-06-18;6;KerttuliS;54,5;4;
2020-06-18;7;baja_biker;38,1;8;
2020-06-19;1;ilkkapa;958,0;39;
2020-06-19;2;nkokko;594,4;17;
2020-06-19;3;vesa.luomala;498,5;27;
2020-06-19;4;EevaLa;184,0;11;
2020-06-19;5;IdaSofiak;88,5;7;
2020-06-19;6;KerttuliS;54,5;4;
2020-06-19;7;baja_biker;38,1;8;
2020-06-20;1;ilkkapa;988,0;40;
2020-06-20;2;nkokko;594,4;17;
2020-06-20;3;vesa.luomala;498,5;27;
2020-06-20;4;EevaLa;184,0;11;
2020-06-20;5;IdaSofiak;88,5;7;
2020-06-20;6;KerttuliS;54,5;4;
2020-06-20;7;baja_biker;38,1;8;
