date;position;name;km;days;
2020-08-06;2;vesa.luomala;1 318,0;50;
2020-08-06;3;nkokko;789,5;26;
2020-08-06;4;EevaLa;277,0;16;
2020-08-06;5;KerttuliS;122,5;8;
2020-08-06;6;IdaSofiak;88,5;7;
2020-08-06;7;baja_biker;38,1;8;
2020-08-07;1;ilkkapa;1 452,0;63;
2020-08-07;2;vesa.luomala;1 322,0;50;
2020-08-07;3;nkokko;812,5;27;
2020-08-07;4;EevaLa;277,0;16;
2020-08-07;5;KerttuliS;122,5;8;
2020-08-07;6;IdaSofiak;88,5;7;
2020-08-07;7;baja_biker;38,1;8;
2020-08-08;1;ilkkapa;1 452,0;63;
2020-08-08;2;vesa.luomala;1 382,0;51;
2020-08-08;3;nkokko;854,3;28;
2020-08-08;4;EevaLa;277,0;16;
2020-08-08;5;KerttuliS;122,5;8;
2020-08-08;6;IdaSofiak;88,5;7;
2020-08-08;7;baja_biker;38,1;8;
2020-08-09;1;ilkkapa;1 491,0;64;
2020-08-09;2;vesa.luomala;1 417,0;52;
2020-08-09;3;nkokko;854,3;28;
2020-08-09;4;EevaLa;277,0;16;
2020-08-09;5;KerttuliS;122,5;8;
2020-08-09;6;IdaSofiak;88,5;7;
2020-08-09;7;baja_biker;38,1;8;
2020-08-10;1;ilkkapa;1 491,0;64;
2020-08-10;2;vesa.luomala;1 443,0;53;
2020-08-10;3;nkokko;877,3;29;
2020-08-10;4;EevaLa;305,0;18;
2020-08-10;5;KerttuliS;122,5;8;
2020-08-10;6;IdaSofiak;88,5;7;
2020-08-10;7;baja_biker;38,1;8;
2020-08-11;1;ilkkapa;1 491,0;64;
2020-08-11;2;vesa.luomala;1 461,5;54;
2020-08-11;3;nkokko;877,3;29;
2020-08-11;4;EevaLa;324,0;19;
2020-08-11;5;KerttuliS;122,5;8;
2020-08-11;6;IdaSofiak;118,1;15;
2020-08-11;7;baja_biker;38,1;8;
2020-08-12;1;ilkkapa;1 524,0;66;
2020-08-12;2;vesa.luomala;1 461,5;54;
2020-08-12;3;nkokko;877,3;29;
2020-08-12;4;EevaLa;324,0;19;
2020-08-12;5;KerttuliS;122,5;8;
2020-08-12;6;IdaSofiak;118,1;15;
2020-08-12;7;baja_biker;38,1;8;
2020-08-13;1;ilkkapa;1 539,0;67;
2020-08-13;2;vesa.luomala;1 461,5;54;
2020-08-13;3;nkokko;877,3;29;
2020-08-13;4;EevaLa;324,0;19;
2020-08-13;5;KerttuliS;122,5;8;
2020-08-13;6;IdaSofiak;118,1;15;
2020-08-13;7;baja_biker;38,1;8;
2020-08-14;1;ilkkapa;1 539,0;67;
2020-08-14;2;vesa.luomala;1 477,5;55;
2020-08-14;3;nkokko;877,3;29;
2020-08-14;4;EevaLa;324,0;19;
2020-08-14;5;KerttuliS;122,5;8;
2020-08-14;6;IdaSofiak;118,1;15;
2020-08-14;7;baja_biker;38,1;8;
2020-08-15;1;vesa.luomala;1 603,0;56;
2020-08-15;2;ilkkapa;1 539,0;67;
2020-08-15;3;nkokko;885,7;30;
2020-08-15;4;EevaLa;324,0;19;
2020-08-15;5;KerttuliS;122,5;8;
2020-08-15;6;IdaSofiak;118,1;15;
2020-08-15;7;baja_biker;38,1;8;
2020-08-16;1;vesa.luomala;1 732,0;57;
2020-08-16;2;ilkkapa;1 539,0;67;
2020-08-16;3;nkokko;885,7;30;
2020-08-16;4;EevaLa;324,0;19;
2020-08-16;5;KerttuliS;122,5;8;
2020-08-16;6;IdaSofiak;118,1;15;
2020-08-16;7;baja_biker;38,1;8;
